"Lowestfifth","Secondfifth","Thirdfifth","Fourthfifth","Pct80to95","Top5percent"
3.2,8.3,14.4,23,28.7,22.3
3.2,8.4,14.3,23,28.8,22.3
3.3,8.5,14.6,23.4,29,21.3
3.4,8.6,14.6,23.2,28.6,21.7
3.4,8.6,14.7,23.3,28.5,21.5
3.4,8.7,14.8,23.4,28.5,21.2
3.4,8.6,14.5,22.9,28.2,22.3
3.4,8.6,14.6,23,28.2,22.2
3.4,8.7,14.7,23.2,28.3,21.8
3.4,8.7,14.8,23.4,28.4,21.4
3.5,8.8,14.8,23.3,28,21.7
3.5,8.7,14.6,23,27.7,22.4
3.6,8.9,14.8,23,27.7,22.1
3.6,8.9,14.9,23.2,27.9,21.5
3.6,9,15,23.2,27.8,21.4
3.6,8.9,15,23.2,27.7,21.7
3.6,9,15.1,23.3,27.6,21.4
3.7,9.1,15.2,23.3,27.7,21
3.6,8.9,15,23.4,27.9,21.2
3.6,9,15.1,23.5,27.9,21
3.8,9.4,15.8,24.2,28.3,18.6
3.8,9.6,15.9,24.2,28.4,18.1
3.8,9.6,15.9,24,28.1,18.5
3.8,9.5,15.8,24,27.9,18.9
3.8,9.6,16,24.2,28,18.3
3.8,9.6,16.1,24.3,28,18.2
3.8,9.7,16.2,24.3,28.1,18
3.9,9.8,16.2,24.4,28,17.6
4,9.9,16.3,24.6,28.1,17.1
4,9.9,16.4,24.6,28.1,17
4,10,16.5,24.5,28,17
4.1,10.1,16.7,24.8,27.8,16.5
4.2,10.2,16.8,24.7,27.6,16.5
4.1,10.2,16.8,24.6,27.3,16.9
4.2,10.2,16.8,24.7,27.3,16.8
4.2,10.2,16.9,24.7,27.2,16.8
4.3,10.3,17,24.7,27.1,16.6
4.3,10.4,17,24.7,27.1,16.5
4.3,10.6,17,24.6,27,16.5
4.2,10.4,17,24.5,27,16.9
4.1,10.4,17,24.5,26.9,17
4.1,10.6,17.3,24.5,26.8,16.7
4.1,10.8,17.4,24.5,26.7,16.6
4.1,10.9,17.5,24.5,26.4,16.6
4.2,11.1,17.6,24.5,26.3,16.3
4,10.8,17.3,24.2,26.4,17.2
