Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Start,End,Season,SeasonNum
1,Barcelona,38,25,8,5,87,34,53,58,1992,1993,1992-1993,0
2,Real Madrid,38,24,9,5,75,28,47,57,1992,1993,1992-1993,0
3,Deportivo La Coruña,38,22,10,6,67,33,34,54,1992,1993,1992-1993,0
4,Valencia,38,19,10,9,60,33,27,48,1992,1993,1992-1993,0
5,Tenerife,38,15,14,9,59,47,12,44,1992,1993,1992-1993,0
6,Atlético Madrid,38,16,11,11,52,42,10,43,1992,1993,1992-1993,0
7,Sevilla,38,17,9,12,46,44,2,43,1992,1993,1992-1993,0
8,Athletic Bilbao,38,17,6,15,53,49,4,40,1992,1993,1992-1993,0
9,Zaragoza,38,11,13,14,37,52,-15,35,1992,1993,1992-1993,0
10,Osasuna,38,12,10,16,42,41,1,34,1992,1993,1992-1993,0
11,Celta de Vigo,38,9,16,13,25,32,-7,34,1992,1993,1992-1993,0
12,Sporting de Gijón,38,11,12,15,38,57,-19,34,1992,1993,1992-1993,0
13,Real Sociedad,38,13,8,17,46,59,-13,34,1992,1993,1992-1993,0
14,Rayo Vallecano,38,8,17,13,40,49,-9,33,1992,1993,1992-1993,0
15,Logroñés,38,11,11,16,32,48,-16,33,1992,1993,1992-1993,0
16,Oviedo,38,11,10,17,42,52,-10,32,1992,1993,1992-1993,0
17,Albacete,38,11,9,18,54,59,-5,31,1992,1993,1992-1993,0
18,Espanyol,38,9,11,18,40,56,-16,29,1992,1993,1992-1993,0
19,Cádiz,38,5,12,21,30,70,-40,22,1992,1993,1992-1993,0
20,Real Burgos,38,4,14,20,29,69,-40,22,1992,1993,1992-1993,0
1,Barcelona,38,25,6,7,91,42,49,56,1993,1994,1993-1994,1
2,Deportivo La Coruña,38,22,12,4,54,18,36,56,1993,1994,1993-1994,1
3,Zaragoza,38,19,8,11,71,47,24,46,1993,1994,1993-1994,1
4,Real Madrid,38,19,7,12,61,50,11,45,1993,1994,1993-1994,1
5,Athletic Bilbao,38,16,11,11,61,47,14,43,1993,1994,1993-1994,1
6,Sevilla,38,15,12,11,56,42,14,42,1993,1994,1993-1994,1
7,Valencia,38,14,12,12,55,50,5,40,1993,1994,1993-1994,1
8,Racing Santander,38,15,8,15,44,42,2,38,1993,1994,1993-1994,1
9,Oviedo,38,12,13,13,43,49,-6,37,1993,1994,1993-1994,1
10,Tenerife,38,15,6,17,50,57,-7,36,1993,1994,1993-1994,1
11,Real Sociedad,38,12,12,14,39,47,-8,36,1993,1994,1993-1994,1
12,Atlético Madrid,38,13,9,16,54,54,0,35,1993,1994,1993-1994,1
13,Albacete,38,10,15,13,49,58,-9,35,1993,1994,1993-1994,1
14,Sporting de Gijón,38,15,5,18,42,57,-15,35,1993,1994,1993-1994,1
15,Celta de Vigo,38,11,11,16,41,51,-10,33,1993,1994,1993-1994,1
16,Logroñés,38,9,15,14,47,58,-11,33,1993,1994,1993-1994,1
17,Rayo Vallecano,38,9,13,16,40,58,-18,31,1993,1994,1993-1994,1
18,Valladolid,38,8,14,16,28,51,-23,30,1993,1994,1993-1994,1
19,Lleida,38,7,13,18,29,48,-19,27,1993,1994,1993-1994,1
20,Osasuna,38,8,10,20,34,63,-29,26,1993,1994,1993-1994,1
1,Real Madrid,38,23,9,6,76,29,47,55,1994,1995,1994-1995,2
2,Deportivo La Coruña,38,20,11,7,68,32,36,51,1994,1995,1994-1995,2
3,Betis,38,15,16,7,46,25,21,46,1994,1995,1994-1995,2
4,Barcelona,38,18,10,10,60,45,15,46,1994,1995,1994-1995,2
5,Sevilla,38,16,11,11,55,41,14,43,1994,1995,1994-1995,2
6,Espanyol,38,14,15,9,51,35,16,43,1994,1995,1994-1995,2
7,Zaragoza,38,18,7,13,56,51,5,43,1994,1995,1994-1995,2
8,Athletic Bilbao,38,16,10,12,39,42,-3,42,1994,1995,1994-1995,2
9,Oviedo,38,13,13,12,45,42,3,39,1994,1995,1994-1995,2
10,Valencia,38,13,12,13,53,48,5,38,1994,1995,1994-1995,2
11,Real Sociedad,38,12,14,12,56,44,12,38,1994,1995,1994-1995,2
12,Racing Santander,38,13,10,15,42,47,-5,36,1994,1995,1994-1995,2
13,Celta de Vigo,38,11,14,13,36,48,-12,36,1994,1995,1994-1995,2
14,Atlético Madrid,38,13,9,16,56,54,2,35,1994,1995,1994-1995,2
15,Tenerife,38,13,9,16,57,57,0,35,1994,1995,1994-1995,2
16,Compostela,38,11,12,15,44,56,-12,34,1994,1995,1994-1995,2
17,Albacete,38,10,14,14,44,61,-17,34,1994,1995,1994-1995,2
18,Sporting de Gijón,38,8,12,18,42,67,-25,28,1994,1995,1994-1995,2
19,Valladolid,38,8,9,21,25,63,-38,25,1994,1995,1994-1995,2
20,Logroñés,38,2,9,27,15,79,-64,13,1994,1995,1994-1995,2
1,Atlético Madrid,42,26,9,7,75,32,43,87,1995,1996,1995-1996,3
2,Valencia,42,26,5,11,77,51,26,83,1995,1996,1995-1996,3
3,Barcelona,42,22,14,6,72,39,33,80,1995,1996,1995-1996,3
4,Espanyol,42,20,14,8,63,36,27,74,1995,1996,1995-1996,3
5,Tenerife,42,20,12,10,69,54,15,72,1995,1996,1995-1996,3
6,Real Madrid,42,20,10,12,75,51,24,70,1995,1996,1995-1996,3
7,Real Sociedad,42,17,12,13,62,53,9,63,1995,1996,1995-1996,3
8,Betis,42,16,14,12,61,54,7,62,1995,1996,1995-1996,3
9,Deportivo La Coruña,42,16,13,13,63,44,19,61,1995,1996,1995-1996,3
10,Compostela,42,17,8,17,47,54,-7,59,1995,1996,1995-1996,3
11,Celta de Vigo,42,12,16,14,49,51,-2,52,1995,1996,1995-1996,3
12,Sevilla,42,11,15,16,43,55,-12,48,1995,1996,1995-1996,3
13,Zaragoza,42,11,15,16,51,59,-8,48,1995,1996,1995-1996,3
14,Oviedo,42,12,12,18,48,67,-19,48,1995,1996,1995-1996,3
15,Athletic Bilbao,42,11,15,16,44,55,-11,48,1995,1996,1995-1996,3
16,Valladolid,42,11,14,17,57,62,-5,47,1995,1996,1995-1996,3
17,Racing Santander,42,11,14,17,47,69,-22,47,1995,1996,1995-1996,3
18,Sporting de Gijón,42,13,7,22,51,60,-9,46,1995,1996,1995-1996,3
19,Rayo Vallecano,42,12,8,22,47,75,-28,44,1995,1996,1995-1996,3
20,Albacete,42,10,12,20,55,81,-26,42,1995,1996,1995-1996,3
21,Mérida,42,10,12,20,37,62,-25,42,1995,1996,1995-1996,3
22,Salamanca,42,8,9,25,53,82,-29,33,1995,1996,1995-1996,3
1,Real Madrid,42,27,11,4,85,36,49,92,1996,1997,1996-1997,4
2,Barcelona,42,28,6,8,102,48,54,90,1996,1997,1996-1997,4
3,Deportivo La Coruña,42,21,14,7,57,30,27,77,1996,1997,1996-1997,4
4,Betis,42,21,14,7,81,46,35,77,1996,1997,1996-1997,4
5,Atlético Madrid,42,20,11,11,76,64,12,71,1996,1997,1996-1997,4
6,Athletic Bilbao,42,16,16,10,72,57,15,64,1996,1997,1996-1997,4
7,Valladolid,42,18,10,14,57,46,11,64,1996,1997,1996-1997,4
8,Real Sociedad,42,18,9,15,50,47,3,63,1996,1997,1996-1997,4
9,Tenerife,42,15,11,16,69,57,12,56,1996,1997,1996-1997,4
10,Valencia,42,15,11,16,63,59,4,56,1996,1997,1996-1997,4
11,Compostela,42,13,14,15,52,65,-13,53,1996,1997,1996-1997,4
12,Espanyol,42,14,9,19,51,57,-6,51,1996,1997,1996-1997,4
