WAS,CLE,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
WAS,CLE,240,.425,.400,33.3,53.8,41.9,81.3,12.5,17.2,10.8,100.0,95.5,106.9
WAS,CLE,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
WAS,CLE,240,.530,.500,46.2,66.7,58.1,61.1,8.0,8.5,18.4,100.0,106.9,95.5
DAL,LAL,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
DAL,LAL,240,.533,.500,22.5,67.4,46.5,55.0,9.9,7.1,10.6,100.0,108.7,99.9
DAL,LAL,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
DAL,LAL,240,.502,.513,32.6,77.5,53.5,63.2,6.6,7.8,13.4,100.0,99.9,108.7
BOS,MIA,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
BOS,MIA,240,.613,.560,18.4,87.2,53.2,61.5,4.2,3.2,14.7,100.0,113.2,127.0
BOS,MIA,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
BOS,MIA,240,.645,.595,12.8,81.6,46.8,58.1,8.5,7.9,7.9,100.0,127.0,113.2
SAC,CHI,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
SAC,CHI,240,.478,.440,25.6,67.4,46.5,41.2,10.5,7.5,17.3,100.0,91.6,98.0
SAC,CHI,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
SAC,CHI,240,.497,.430,32.6,74.4,53.5,63.6,8.4,14.3,16.1,100.0,98.0,91.6
HOU,DET,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
HOU,DET,240,.589,.557,31.6,76.7,55.6,71.8,12.7,5.8,18.3,100.0,111.0,101.5
HOU,DET,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
HOU,DET,240,.531,.481,23.3,68.4,44.4,60.0,12.7,6.3,15.0,100.0,101.5,111.0
MEM,LAC,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
MEM,LAC,240,.464,.395,35.4,77.1,53.0,72.7,14.4,5.6,15.4,100.0,94.5,103.7
MEM,LAC,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
MEM,LAC,240,.582,.547,22.9,64.6,47.0,65.8,12.3,15.3,20.2,100.0,103.7,94.5
SAS,NOH,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
SAS,NOH,240,.541,.513,22.7,78.6,50.0,57.9,9.6,13.3,14.1,100.0,105.8,101.6
SAS,NOH,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
SAS,NOH,240,.527,.463,21.4,77.3,50.0,74.3,7.5,9.5,12.6,100.0,101.6,105.8
DEN,PHI,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
DEN,PHI,240,.404,.398,32.7,73.1,53.5,57.6,9.7,7.1,17.7,100.0,80.8,90.4
DEN,PHI,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
DEN,PHI,240,.446,.394,26.9,67.3,46.5,60.0,14.0,18.3,13.7,100.0,90.4,80.8
GSW,PHO,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
GSW,PHO,240,.453,.413,34.0,74.4,52.7,57.6,9.6,4.3,15.8,100.0,92.8,90.6
GSW,PHO,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
GSW,PHO,240,.474,.425,25.6,66.0,47.3,50.0,10.7,20.3,16.7,100.0,90.6,92.8
LAL,POR,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
LAL,POR,240,.616,.556,42.9,75.0,60.0,58.3,6.4,3.7,21.8,100.0,113.1,123.7
LAL,POR,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
LAL,POR,240,.608,.560,25.0,57.1,40.0,45.2,10.7,7.9,11.2,100.0,123.7,113.1
IND,TOR,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
IND,TOR,240,.529,.506,25.0,71.2,52.3,59.5,3.3,14.9,17.5,100.0,98.8,96.6
IND,TOR,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
IND,TOR,240,.443,.396,28.8,75.0,47.7,54.5,13.2,10.8,9.1,100.0,96.6,98.8
DAL,UTA,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
DAL,UTA,240,.487,.441,16.3,61.5,39.6,62.5,8.0,7.9,14.2,100.0,93.6,112.5
DAL,UTA,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
DAL,UTA,240,.526,.461,38.5,83.7,60.4,63.2,10.0,10.7,11.5,100.0,112.5,93.6
OKC,SAS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
OKC,SAS,240,.482,.422,26.7,85.7,55.2,62.1,6.6,8.3,17.1,100.0,92.2,94.4
OKC,SAS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
OKC,SAS,240,.500,.475,14.3,73.3,44.8,77.1,9.9,6.7,13.1,100.0,94.4,92.2
HOU,ATL,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
HOU,ATL,240,.530,.467,44.2,83.3,61.7,57.9,8.2,3.3,17.0,100.0,111.9,104.7
HOU,ATL,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
HOU,ATL,240,.551,.512,16.7,55.8,38.3,57.5,12.3,6.3,12.3,100.0,104.7,111.9
MIL,BOS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
MIL,BOS,240,.542,.512,26.8,85.4,56.1,65.0,12.7,7.4,16.5,100.0,104.4,92.8
MIL,BOS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
MIL,BOS,240,.529,.480,14.6,73.2,43.9,66.7,9.5,6.7,17.8,100.0,92.8,104.4
IND,CHA,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
IND,CHA,240,.469,.440,31.1,79.2,55.9,57.6,5.4,8.8,15.2,100.0,95.3,96.4
IND,CHA,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
IND,CHA,240,.471,.406,20.8,68.9,44.1,58.1,10.7,13.6,9.5,100.0,96.4,95.3
CHI,CLE,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
CHI,CLE,240,.700,.667,18.5,76.6,55.4,77.3,7.4,6.8,17.1,100.0,122.3,91.5
CHI,CLE,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
CHI,CLE,240,.473,.456,23.4,81.5,44.6,71.9,7.4,1.7,15.8,100.0,91.5,122.3
MEM,GSW,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
MEM,GSW,240,.565,.494,25.0,77.5,52.6,62.9,9.6,6.3,12.4,100.0,111.5,100.8
MEM,GSW,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
MEM,GSW,240,.537,.513,22.5,75.0,47.4,58.3,5.4,8.3,17.1,100.0,100.8,111.5
LAC,LAL,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
LAC,LAL,240,.548,.500,22.5,80.0,49.3,63.2,12.9,6.5,10.3,100.0,112.5,101.8
LAC,LAL,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
LAC,LAL,240,.591,.551,20.0,77.5,50.7,44.1,7.5,13.5,19.9,100.0,101.8,112.5
SAC,MIN,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
SAC,MIN,240,.416,.376,23.4,65.3,44.8,53.1,7.6,5.5,10.3,100.0,86.9,99.9
SAC,MIN,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
SAC,MIN,240,.447,.379,34.7,76.6,55.2,53.1,4.3,14.3,9.7,100.0,99.9,86.9
UTA,NOH,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
UTA,NOH,240,.476,.471,34.8,70.0,51.2,54.3,8.3,10.5,13.4,100.0,101.4,103.7
UTA,NOH,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
UTA,NOH,240,.505,.488,30.0,65.2,48.8,62.2,8.3,6.0,12.1,100.0,103.7,101.4
MIA,NYK,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
MIA,NYK,240,.547,.514,20.0,72.3,50.0,54.5,4.5,9.8,21.5,100.0,95.0,117.6
MIA,NYK,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
MIA,NYK,240,.574,.542,27.7,80.0,50.0,75.0,11.3,0.0,11.7,100.0,117.6,95.0
POR,OKC,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
POR,OKC,240,.462,.410,22.0,80.5,48.4,53.1,4.2,0.0,9.9,100.0,97.2,112.0
POR,OKC,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
POR,OKC,240,.588,.546,19.5,78.0,51.6,46.2,2.1,14.9,11.8,100.0,112.0,97.2
DEN,ORL,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
DEN,ORL,240,.464,.423,30.0,73.2,49.5,68.8,5.4,8.6,12.7,100.0,96.9,111.1
DEN,ORL,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
DEN,ORL,240,.543,.517,26.8,70.0,50.5,57.1,8.7,11.3,10.5,100.0,111.1,96.9
DET,PHO,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
DET,PHO,240,.452,.433,21.3,65.9,42.9,54.1,2.2,6.5,8.4,100.0,96.1,99.4
DET,PHO,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
DET,PHO,240,.469,.446,34.1,78.7,57.1,37.5,6.5,6.2,10.9,100.0,99.4,96.1
TOR,BRK,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
TOR,BRK,240,.538,.494,23.8,75.0,47.4,62.2,8.2,7.8,13.1,100.0,102.3,109.4
TOR,BRK,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
TOR,BRK,240,.550,.494,25.0,76.2,52.6,54.1,6.1,7.6,14.9,100.0,109.4,102.3
NOH,CHI,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
NOH,CHI,240,.523,.460,25.7,70.0,51.8,40.6,7.8,15.8,15.8,100.0,99.2,91.4
NOH,CHI,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
NOH,CHI,240,.414,.347,30.0,74.3,48.2,72.4,12.3,8.5,10.8,100.0,91.4,99.2
CHA,DAL,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
CHA,DAL,240,.487,.445,30.0,74.2,46.9,48.7,13.4,2.7,9.0,100.0,102.4,130.3
CHA,DAL,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
CHA,DAL,240,.727,.713,25.8,70.0,53.1,63.3,6.2,12.7,20.3,100.0,130.3,102.4
POR,HOU,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
POR,HOU,265,.483,.473,20.0,72.9,48.6,71.8,10.7,11.6,14.0,100.0,92.5,82.7
POR,HOU,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
POR,HOU,265,.409,.380,27.1,80.0,51.4,55.9,11.7,5.7,14.8,100.0,82.7,92.5
SAC,IND,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
SAC,IND,290,.442,.402,25.8,59.6,41.2,51.4,14.1,16.3,12.6,100.0,92.1,99.6
SAC,IND,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
SAC,IND,290,.478,.414,40.4,74.2,58.8,41.0,9.4,18.2,15.9,100.0,99.6,92.1
GSW,LAC,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
GSW,LAC,240,.563,.512,38.1,82.1,59.3,53.7,7.2,2.9,11.4,100.0,117.4,113.3
GSW,LAC,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
GSW,LAC,240,.592,.500,17.9,61.9,40.7,70.0,6.2,10.2,14.7,100.0,113.3,117.4
DEN,MIA,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
DEN,MIA,240,.559,.542,41.9,80.6,59.5,26.5,5.3,4.1,11.1,100.0,122.8,126.0
DEN,MIA,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
DEN,MIA,240,.627,.578,19.4,58.1,40.5,60.5,9.5,13.8,7.8,100.0,126.0,122.8
CLE,MIL,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
CLE,MIL,240,.533,.506,20.9,91.7,53.2,48.7,9.1,0.0,13.5,100.0,102.6,105.7
CLE,MIL,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
CLE,MIL,240,.595,.576,8.3,79.1,46.8,78.0,8.1,16.4,14.5,100.0,105.7,102.6
UTA,SAS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
UTA,SAS,240,.577,.526,25.7,76.7,49.2,44.7,11.9,10.9,15.6,100.0,108.5,119.4
UTA,SAS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
UTA,SAS,240,.654,.615,23.3,74.3,50.8,69.0,8.7,9.8,17.6,100.0,119.4,108.5
BOS,WAS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
BOS,WAS,240,.496,.476,13.3,80.6,43.2,66.7,8.8,6.3,9.1,100.0,97.8,94.5
BOS,WAS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
BOS,WAS,240,.503,.474,19.4,86.7,56.8,58.8,7.7,6.9,14.9,100.0,94.5,97.8
DET,LAL,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
DET,LAL,240,.443,.380,30.2,55.6,41.8,67.9,5.8,7.6,15.2,100.0,91.6,125.2
