Year,Kick,Team,Opponent,Kicker,Position,Keeper,Scored
1982,1,West Germany,France,Kaltz,Defender,Ettori,TRUE
1982,1,France,West Germany,Giresse,Midfielder,Schumacher,TRUE
1982,2,West Germany,France,Breitner,Midfielder,Ettori,TRUE
1982,2,France,West Germany,Amoros,Defender,Schumacher,TRUE
1982,3,West Germany,France,Stielike,Defender,Ettori,FALSE
1982,3,France,West Germany,Rocheteau,Midfielder,Schumacher,TRUE
1982,4,West Germany,France,Littbarski,Midfielder,Ettori,TRUE
1982,4,France,West Germany,Six,Midfielder,Schumacher,FALSE
1982,5,West Germany,France,Rummenigge,Forward,Ettori,TRUE
1982,5,France,West Germany,Platini,Midfielder,Schumacher,TRUE
1982,6,West Germany,France,Hrubesch,Forward,Ettori,TRUE
1982,6,France,West Germany,Bossis,Defender,Schumacher,FALSE
1986,1,Brasil,France,Socrates,Midfielder,Bats,FALSE
1986,1,France,Brasil,Stopyra,Forward,Carlos,TRUE
1986,2,Brasil,France,Alemão,Midfielder,Bats,TRUE
1986,2,France,Brasil,Amoros,Defender,Carlos,TRUE
1986,3,Brasil,France,Zico,Forward,Bats,TRUE
1986,3,France,Brasil,Bellone,Forward,Carlos,TRUE
1986,4,Brasil,France,Branco,Defender,Bats,TRUE
1986,4,France,Brasil,Platini,Midfielder,Carlos,FALSE
1986,5,Brasil,France,Júlio César,Defender,Bats,FALSE
1986,5,France,Brasil,Fernández,Midfielder,Carlos,TRUE
1986,1,West Germany,Mexico,Allofs,Forward,Larios,TRUE
1986,1,Mexico,West Germany,Negrete,Forward,Schumacher,TRUE
1986,2,West Germany,Mexico,Brehme,Defender,Larios,TRUE
1986,2,Mexico,West Germany,Quirarte,Defender,Schumacher,FALSE
1986,3,West Germany,Mexico,Matthäus,Midfielder,Larios,TRUE
1986,3,Mexico,West Germany,Servín,Defender,Schumacher,FALSE
1986,4,West Germany,Mexico,Littbarski,Midfielder,Larios,TRUE
1986,1,Spain,Belgium,Señor,Midfielder,Pfaff,TRUE
1986,1,Belgium,Spain,Claesen,Forward,Zubizarreta,TRUE
1986,2,Spain,Belgium,Eloy,Forward,Pfaff,FALSE
1986,2,Belgium,Spain,Scifo,Midfielder,Zubizarreta,TRUE
1986,3,Spain,Belgium,Chendo,Defender,Pfaff,TRUE
1986,3,Belgium,Spain,Broos,Defender,Zubizarreta,TRUE
1986,4,Spain,Belgium,Butragueño,Forward,Pfaff,TRUE
1986,4,Belgium,Spain,Vervoort,Midfielder,Zubizarreta,TRUE
1986,5,Spain,Belgium,Víctor,Defender,Pfaff,TRUE
1986,5,Belgium,Spain,Van Der Elst,Defender,Zubizarreta,TRUE
1990,1,Republic of Ireland,Romania,Sheedy,Midfielder,Lung,TRUE
1990,1,Romania,Republic of Ireland,Hagi,Midfielder,Bonner,TRUE
1990,2,Republic of Ireland,Romania,Houghton,Midfielder,Lung,TRUE
